Student ID,Signup Date,Year,Month,City,City Tier,Age Group,Gender,Course Name,Subject Category,Grade Level,Plan Type,Mode of Learning,Enrollment Status,Completion %,Revenue (INR),Course Rating
STU12728,2021-01-01,2021,Jan,Mumbai,Tier 1,18+,Male,Spoken English Mastery,Skill Development,All,Annual,Online,Completed,100.0,4749.56,4.0
STU10424,2021-01-01,2021,Jan,Mumbai,Tier 1,18+,Female,Class 6 Foundation,School Curriculum,6,Monthly,Online,Active,51.3,834.21,4.6
STU14019,2021-01-01,2021,Jan,Guwahati,Tier 3,6-10,Male,Robotics & AI Basics,Coding,6-8,Annual,Online,Churned,34.3,12204.14,4.5
STU10181,2021-01-02,2021,Jan,Ahmedabad,Tier 1,11-14,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Online,Completed,100.0,13597.32,3.6
STU13262,2021-01-02,2021,Jan,Chennai,Tier 1,15-17,Male,Spoken English Mastery,Skill Development,All,Annual,Online,Churned,45.2,4579.1,4.3
STU10879,2021-01-02,2021,Jan,Guwahati,Tier 3,6-10,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Monthly,Offline,Trial - Not Converted,18.5,0.0,
STU11398,2021-01-02,2021,Jan,Pune,Tier 1,15-17,Male,Class 8 Maths & Science,School Curriculum,8,Monthly,Offline,Churned,36.7,909.64,4.0
STU12578,2021-01-02,2021,Jan,Surat,Tier 2,6-10,Female,Class 10 CBSE Complete,School Curriculum,10,Monthly,Online,Completed,100.0,1415.62,4.0
STU12780,2021-01-02,2021,Jan,Pune,Tier 1,15-17,Male,Class 6 Foundation,School Curriculum,6,Annual,Online,Completed,100.0,8732.88,4.4
STU15708,2021-01-03,2021,Jan,Nagpur,Tier 2,11-14,Female,Python for Beginners,Coding,6-8,Quarterly,Offline,Trial - Not Converted,22.4,0.0,
STU14358,2021-01-03,2021,Jan,Bengaluru,Tier 1,18+,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Trial - Not Converted,1.3,0.0,
STU11586,2021-01-04,2021,Jan,Jaipur,Tier 2,18+,Female,Class 10 CBSE Complete,School Curriculum,10,Quarterly,Online,Active,81.9,4619.8,4.7
STU12388,2021-01-04,2021,Jan,Nagpur,Tier 2,11-14,Female,Robotics & AI Basics,Coding,6-8,Annual,Online,Churned,47.6,12643.67,4.8
STU12020,2021-01-04,2021,Jan,Pune,Tier 1,11-14,Female,NEET Crash Course,Competitive Exam,11-12,Monthly,Online,Churned,56.9,3934.74,3.0
STU12482,2021-01-04,2021,Jan,Mumbai,Tier 1,6-10,Female,JEE Main Foundation,Competitive Exam,11-12,Monthly,Online,Trial - Not Converted,23.3,0.0,
STU14115,2021-01-04,2021,Jan,Kanpur,Tier 2,6-10,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Offline,Trial - Not Converted,20.3,0.0,
STU15164,2021-01-04,2021,Jan,Indore,Tier 2,11-14,Male,Coding for Kids - Scratch,Coding,3-5,Annual,Online,Trial - Not Converted,1.9,0.0,
STU15597,2021-01-04,2021,Jan,Kolkata,Tier 1,15-17,Female,Spoken English Mastery,Skill Development,All,Quarterly,Online,Churned,12.1,1493.87,3.8
STU14397,2021-01-04,2021,Jan,Jodhpur,Tier 3,11-14,Female,Python for Beginners,Coding,6-8,Monthly,Online,Active,73.5,775.19,4.2
STU12101,2021-01-05,2021,Jan,Bengaluru,Tier 1,6-10,Male,Spoken English Mastery,Skill Development,All,Annual,Online,Active,83.0,5136.3,4.8
STU12307,2021-01-05,2021,Jan,Bengaluru,Tier 1,6-10,Female,Python for Beginners,Coding,6-8,Quarterly,Online,Active,41.2,2433.17,4.1
STU15062,2021-01-05,2021,Jan,Pune,Tier 1,18+,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Online,Active,89.4,9223.04,4.2
STU13572,2021-01-06,2021,Jan,Bengaluru,Tier 1,6-10,Female,NEET Crash Course,Competitive Exam,11-12,Monthly,Offline,Completed,100.0,4067.96,4.4
STU10272,2021-01-06,2021,Jan,Hyderabad,Tier 1,11-14,Male,Class 8 Maths & Science,School Curriculum,8,Monthly,Online,Churned,52.7,1033.66,3.2
STU15664,2021-01-06,2021,Jan,Ahmedabad,Tier 1,11-14,Male,Class 6 Foundation,School Curriculum,6,Annual,Online,Active,57.3,8475.49,4.5
STU14891,2021-01-06,2021,Jan,Varanasi,Tier 3,15-17,Male,NEET Crash Course,Competitive Exam,11-12,Quarterly,Online,Churned,35.6,13401.8,3.6
STU10659,2021-01-06,2021,Jan,Meerut,Tier 3,6-10,Female,Python for Beginners,Coding,6-8,Annual,Offline,Completed,100.0,7939.79,4.4
STU14588,2021-01-07,2021,Jan,Hyderabad,Tier 1,11-14,Female,Robotics & AI Basics,Coding,6-8,Monthly,Online,Active,86.2,1286.69,4.7
STU11008,2021-01-07,2021,Jan,Kanpur,Tier 2,15-17,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Online,Active,87.8,15238.16,3.7
STU14769,2021-01-07,2021,Jan,Ranchi,Tier 3,11-14,Female,Robotics & AI Basics,Coding,6-8,Monthly,Online,Active,42.7,1255.02,4.6
STU14553,2021-01-08,2021,Jan,Jaipur,Tier 2,11-14,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Monthly,Online,Active,93.8,4611.91,4.0
STU14417,2021-01-08,2021,Jan,Bengaluru,Tier 1,15-17,Female,Python for Beginners,Coding,6-8,Annual,Online,Active,89.7,8018.25,4.8
STU12228,2021-01-08,2021,Jan,Ranchi,Tier 3,15-17,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Trial - Not Converted,9.5,0.0,
STU12952,2021-01-09,2021,Jan,Ahmedabad,Tier 1,15-17,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Online,Trial - Not Converted,10.8,0.0,
STU13845,2021-01-09,2021,Jan,Patna,Tier 2,15-17,Male,JEE Main Foundation,Competitive Exam,11-12,Annual,Online,Completed,100.0,35812.26,3.5
STU13444,2021-01-09,2021,Jan,Hyderabad,Tier 1,18+,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Online,Churned,27.4,14895.92,4.5
STU13883,2021-01-09,2021,Jan,Ahmedabad,Tier 1,11-14,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Churned,23.0,45705.81,4.9
STU11431,2021-01-09,2021,Jan,Bengaluru,Tier 1,18+,Female,Class 6 Foundation,School Curriculum,6,Annual,Offline,Trial - Not Converted,15.7,0.0,
STU14427,2021-01-10,2021,Jan,Hyderabad,Tier 1,15-17,Male,Python for Beginners,Coding,6-8,Annual,Online,Active,48.3,7718.5,4.4
STU14266,2021-01-10,2021,Jan,Kota,Tier 3,15-17,Male,JEE Main Foundation,Competitive Exam,11-12,Annual,Offline,Churned,23.8,37207.27,4.6
STU15657,2021-01-10,2021,Jan,Chennai,Tier 1,11-14,Female,Python for Beginners,Coding,6-8,Annual,Online,Trial - Not Converted,13.2,0.0,
STU14629,2021-01-11,2021,Jan,Lucknow,Tier 2,15-17,Male,Robotics & AI Basics,Coding,6-8,Monthly,Offline,Active,63.6,1238.96,3.8
STU11868,2021-01-11,2021,Jan,Delhi,Tier 1,15-17,Female,Python for Beginners,Coding,6-8,Annual,Online,Active,42.4,8223.21,4.5
STU10490,2021-01-11,2021,Jan,Ahmedabad,Tier 1,11-14,Male,JEE Main Foundation,Competitive Exam,11-12,Quarterly,Offline,Active,67.4,11797.88,3.2
STU12360,2021-01-11,2021,Jan,Hyderabad,Tier 1,6-10,Male,NEET Crash Course,Competitive Exam,11-12,Quarterly,Online,Completed,100.0,13509.17,3.3
STU12805,2021-01-11,2021,Jan,Nagpur,Tier 2,11-14,Female,NEET Crash Course,Competitive Exam,11-12,Annual,Offline,Active,73.4,41915.25,4.3
STU10697,2021-01-11,2021,Jan,Surat,Tier 2,6-10,Male,Class 6 Foundation,School Curriculum,6,Annual,Online,Trial - Not Converted,9.3,0.0,
STU12993,2021-01-11,2021,Jan,Ranchi,Tier 3,6-10,Male,Class 6 Foundation,School Curriculum,6,Monthly,Online,Active,25.7,785.41,3.9
STU14821,2021-01-11,2021,Jan,Delhi,Tier 1,6-10,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Online,Trial - Not Converted,11.8,0.0,
STU15376,2021-01-11,2021,Jan,Patna,Tier 2,11-14,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Trial - Not Converted,11.9,0.0,
STU12560,2021-01-12,2021,Jan,Varanasi,Tier 3,18+,Male,Coding for Kids - Scratch,Coding,3-5,Quarterly,Online,Churned,38.9,1808.9,4.2
STU10218,2021-01-12,2021,Jan,Bhopal,Tier 2,18+,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Online,Active,39.3,10220.15,3.3
STU13945,2021-01-12,2021,Jan,Varanasi,Tier 3,6-10,Female,Class 8 Maths & Science,School Curriculum,8,Quarterly,Offline,Active,70.4,3094.97,4.5
STU13965,2021-01-13,2021,Jan,Bhopal,Tier 2,6-10,Female,Coding for Kids - Scratch,Coding,3-5,Monthly,Online,Completed,100.0,645.03,5.0
STU14988,2021-01-13,2021,Jan,Hyderabad,Tier 1,15-17,Male,Python for Beginners,Coding,6-8,Monthly,Online,Active,97.6,716.48,4.1
STU13099,2021-01-13,2021,Jan,Hyderabad,Tier 1,11-14,Female,Class 8 Maths & Science,School Curriculum,8,Monthly,Offline,Active,96.1,936.68,3.7
STU13869,2021-01-13,2021,Jan,Chennai,Tier 1,11-14,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Quarterly,Online,Completed,100.0,13728.37,3.7
STU12334,2021-01-14,2021,Jan,Nagpur,Tier 2,6-10,Female,Class 8 Maths & Science,School Curriculum,8,Annual,Online,Active,25.7,9904.32,4.0
STU13212,2021-01-14,2021,Jan,Kolkata,Tier 1,18+,Male,NEET Crash Course,Competitive Exam,11-12,Annual,Offline,Active,44.4,41208.48,4.2
